case_id,case_type,probe_query,match_count,matched_files,first_match_snippet
normal-01,normal,grocery store,1,data/docs/example_set/normal_01_grocery_budget_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 [...]
normal-02,normal,rent,1,data/docs/example_set/normal_02_rent_reminder.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 [...]
normal-03,normal,salary deposit,1,data/docs/example_set/normal_03_salary_deposit_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 [...]
normal-04,normal,travel reimbursement,1,data/docs/example_set/normal_04_reimbursement_receipt.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 [...]
normal-05,normal,savings goal,1,data/docs/example_set/normal_05_savings_transfer_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 [...]
ambiguous-01,ambiguous,transactions,10,data/docs/example_set/normal_01_grocery_budget_note.txt|data/docs/example_set/normal_02_rent_reminder.txt|data/docs/example_set/normal_03_salary_deposit_note.txt|data/docs/example_set/normal_04_reimbursement_receipt.txt|data/docs/example_set/normal_05_savings_transfer_note.txt|data/docs/example_set/ambiguous_01_shared_transaction_note.txt|data/docs/example_set/ambiguous_02_shared_notes_note.txt|data/docs/example_set/ambiguous_03_shared_march_note.txt|data/docs/example_set/adversarial_01_sql_like_note.txt|data/docs/example_set/adversarial_02_long_repetition_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 [...]
ambiguous-02,ambiguous,notes,10,data/docs/example_set/normal_01_grocery_budget_note.txt|data/docs/example_set/normal_02_rent_reminder.txt|data/docs/example_set/normal_03_salary_deposit_note.txt|data/docs/example_set/normal_04_reimbursement_receipt.txt|data/docs/example_set/normal_05_savings_transfer_note.txt|data/docs/example_set/ambiguous_01_shared_transaction_note.txt|data/docs/example_set/ambiguous_02_shared_notes_note.txt|data/docs/example_set/ambiguous_03_shared_march_note.txt|data/docs/example_set/adversarial_01_sql_like_note.txt|data/docs/example_set/adversarial_02_long_repetition_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 [...]
ambiguous-03,ambiguous,March 2025,10,data/docs/example_set/normal_01_grocery_budget_note.txt|data/docs/example_set/normal_02_rent_reminder.txt|data/docs/example_set/normal_03_salary_deposit_note.txt|data/docs/example_set/normal_04_reimbursement_receipt.txt|data/docs/example_set/normal_05_savings_transfer_note.txt|data/docs/example_set/ambiguous_01_shared_transaction_note.txt|data/docs/example_set/ambiguous_02_shared_notes_note.txt|data/docs/example_set/ambiguous_03_shared_march_note.txt|data/docs/example_set/adversarial_01_sql_like_note.txt|data/docs/example_set/adversarial_02_long_repetition_note.txt,This is a sample document for DocSense. It contains a few sentences about finances and notes. March 2025 [...]
adversarial-01,adversarial,delete database,0,,
adversarial-02,adversarial,xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,0,,
adversarial-03,adversarial,@@@@@@,0,,
